mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.9469990253448486,0.3133389699004584,0.01719985008239746,0.0020402215490928108,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,1
2.741999959945679,0.16637182707328818,0.016600751876831056,0.004845711130130969,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,1
4.054003810882568,0.5994014081599666,0.013396835327148438,0.00450289044151525,0.1,3,300,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,1
1.8905984878540039,0.35211772460030644,0.023602294921875,0.015539265497626817,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.6842105263157895,0.9473684210526315,0.75,0.9473684210526315,0.9473684210526315,0.8552631578947368,0.11470786693528086,13
3.413598918914795,0.8279781595064679,0.016801071166992188,0.0037105368926414702,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.6842105263157895,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8657894736842107,0.12466020297186325,10
4.161599206924438,1.0738185326885425,0.02100033760070801,0.015063965922148991,0.1,5,300,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.6842105263157895,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8657894736842107,0.12466020297186325,10
1.6523950576782227,0.19103587897371008,0.011405420303344727,0.0010167982738409653,0.1,10,100,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",0.6842105263157895,0.9473684210526315,0.85,0.8421052631578947,0.9473684210526315,0.8542105263157895,0.09635460822563592,17
3.594625997543335,0.7685646444785584,0.01599884033203125,0.002450560055589177,0.1,10,200,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}",0.6842105263157895,0.9473684210526315,0.85,0.8421052631578947,0.9473684210526315,0.8542105263157895,0.09635460822563592,17
3.769201421737671,1.3525292578420411,0.014997720718383789,0.004241715073338889,0.1,10,300,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300}",0.6842105263157895,0.9473684210526315,0.85,0.8421052631578947,0.9473684210526315,0.8542105263157895,0.09635460822563592,17
1.7457303524017334,1.0300582803263962,0.037446451187133786,0.050409809469895754,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.75,0.8947368421052632,1.0,0.8763157894736843,0.09400300578679868,8
3.151054334640503,1.5635376939168089,0.011801958084106445,0.0033708785895288375,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,1
4.211600971221924,0.9941217319840744,0.020199060440063477,0.009623438416583426,0.05,3,300,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",0.7894736842105263,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8868421052631579,0.09832390364352317,1
2.0893961429595946,0.2011643634527598,0.012400054931640625,0.005462283218198806,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.6842105263157895,0.8947368421052632,0.8,0.9473684210526315,0.9473684210526315,0.8547368421052631,0.10083309486170984,16
3.843443441390991,1.7946889262241115,0.013202190399169922,0.0113013068411256,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.6842105263157895,0.9473684210526315,0.75,0.9473684210526315,0.9473684210526315,0.8552631578947368,0.11470786693528086,13
12.529042482376099,6.1492700228124,0.03379559516906738,0.03596890276884205,0.05,5,300,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300}",0.6842105263157895,0.9473684210526315,0.75,0.9473684210526315,1.0,0.8657894736842107,0.12466020297186325,10
3.261806917190552,0.799197429391316,0.02219257354736328,0.006618422713573373,0.05,10,100,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100}",0.6842105263157895,0.9473684210526315,0.85,0.8421052631578947,0.9473684210526315,0.8542105263157895,0.09635460822563592,17
8.164802408218383,3.624810922314883,0.03920583724975586,0.03212858608468514,0.05,10,200,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200}",0.6842105263157895,0.9473684210526315,0.85,0.8421052631578947,0.9473684210526315,0.8542105263157895,0.09635460822563592,17
15.514115381240845,4.747142259013133,0.029000282287597656,0.005059814901597805,0.05,10,300,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 300}",0.6842105263157895,0.9473684210526315,0.85,0.8421052631578947,0.9473684210526315,0.8542105263157895,0.09635460822563592,17
1.8501992225646973,0.557172822734086,0.01739926338195801,0.00930783517703893,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.75,0.8947368421052632,1.0,0.8763157894736843,0.09400300578679868,8
