mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.31020145416259765,0.09715364050806623,0.013599824905395509,0.004630646353839129,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.8,0.8947368421052632,1.0,0.8863157894736844,0.08191611140355248,14
0.42199954986572263,0.04048319417656332,0.010999965667724609,0.003031424556146251,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.7368421052631579,0.9473684210526315,0.8,0.8947368421052632,1.0,0.8757894736842105,0.09587618978303747,25
0.7230024814605713,0.04848194399447846,0.015994977951049805,0.0033486627476898134,0.1,3,300,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.7368421052631579,0.9473684210526315,0.85,0.8947368421052632,1.0,0.8857894736842106,0.08986909531996419,20
0.3262016296386719,0.03061583638260326,0.01140284538269043,0.002874693061051338,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.75,0.8947368421052632,1.0,0.8763157894736843,0.09400300578679868,21
0.43259992599487307,0.05863582530245492,0.010604429244995116,0.00206731018723023,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.7894736842105263,0.9473684210526315,0.85,0.8947368421052632,1.0,0.8963157894736842,0.07337529228565662,3
0.5916013240814209,0.0783505333179836,0.010995721817016602,0.002000483429843207,0.1,5,300,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.7894736842105263,0.9473684210526315,0.85,0.9473684210526315,1.0,0.9068421052631578,0.07611771027280388,1
0.2644002437591553,0.028115635990894217,0.01080021858215332,0.002134507410361663,0.1,10,100,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.75,0.8947368421052632,1.0,0.8763157894736843,0.09400300578679868,21
0.4598074436187744,0.038493083257499054,0.010793495178222656,0.0015952200500781457,0.1,10,200,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}",0.7894736842105263,0.9473684210526315,0.85,0.8947368421052632,1.0,0.8963157894736842,0.07337529228565662,3
0.6288025379180908,0.09306186198966275,0.011003255844116211,0.0012664468707916064,0.1,10,300,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300}",0.7894736842105263,0.9473684210526315,0.85,0.9473684210526315,1.0,0.9068421052631578,0.07611771027280388,1
0.207999324798584,0.005441088787941647,0.008198738098144531,0.0021361348437296296,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.8,0.8421052631578947,1.0,0.8757894736842106,0.0835235133679047,24
0.47800259590148925,0.058474257729561156,0.012804603576660157,0.0019427815291849703,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.7894736842105263,0.9473684210526315,0.8,0.8947368421052632,1.0,0.8863157894736844,0.08191611140355248,14
0.5763999938964843,0.031382550132897015,0.009202194213867188,0.001940360077893578,0.05,3,300,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",0.7368421052631579,0.9473684210526315,0.8,0.8947368421052632,1.0,0.8757894736842105,0.09587618978303747,25
0.3266009330749512,0.05177723181432592,0.014198589324951171,0.005151024339037151,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.75,0.8947368421052632,1.0,0.8763157894736843,0.09400300578679868,21
0.5061998844146729,0.08191674936181374,0.013602590560913086,0.006498833443280271,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.7894736842105263,0.9473684210526315,0.8,0.8947368421052632,1.0,0.8863157894736844,0.08191611140355248,14
0.7368002891540527,0.067366915190218,0.01119823455810547,0.002315910255026807,0.05,5,300,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300}",0.7894736842105263,0.9473684210526315,0.8,0.8947368421052632,1.0,0.8863157894736844,0.08191611140355248,14
0.3124000072479248,0.02564790115519464,0.009405994415283203,0.0013587022251062768,0.05,10,100,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100}",0.7894736842105263,0.9473684210526315,0.75,0.8421052631578947,1.0,0.8657894736842107,0.0942972256166785,27
0.5199976921081543,0.07978538813715733,0.010402917861938477,0.002581264500411768,0.05,10,200,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200}",0.7894736842105263,0.9473684210526315,0.8,0.8947368421052632,1.0,0.8863157894736844,0.08191611140355248,14
